title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
Be a Category of One | Simon Severino | TEDxOsogbo,Ud9PRfW1K6M,Simon shares how to achieve your widest dreams by focusing on individual uniqueness and superpower. Simon introduces the concept of the equalizer that can help to build incomparable individuals in various field by focusing on their uniqueness. Simon Severino This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx,2020-10-09T14:47:07Z,29,0,275,1
A Construção da Coragem | Igor Cosso | TEDxBeloHorizonte,Tm_ToiQCpDY,"A jornada do herói é uma metodologia bastante conhecida no cinema e nos livros, mas também faz parte da vida de toda pessoa, especialmente, ao sair da zona de conforto. Ao refletir sobre esses momentos decisivos, o ator Igor Cosso, explora a coragem de fazer mudanças. Aborda a revelação de ser parte da comunidade LGBT como inspiradora para conectar consigo e com os outros de forma mais genuína. Igor Cosso faz um convite para ""que você construa sua coragem."" Igor Cosso é ator e escritor belo-horizontino conhecido por seus trabalhos na TV e no teatro. Atualmente interpreta o Júnior na novela “Salve-se Quem Puder” e produz a sequência de short-films “The Article”.  Recentemente, Igor se tornou uma referência por sua coragem ao romper os padrões dentro do seu mercado de trabalho e anunciar que é parte da comunidade LGBTQIA+. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:45:29Z,91,0,375,2
Les cellules souches : un outil prometteur et excitant ! | Clara Steinchen | TEDxPoitiers,UqInJGhOg6k,"Leur capacité à se multiplier à l’infini et à devenir d’autres types cellulaires confèrent aux cellules souches des propriétés uniques… Mais que peut-on vraiment attendre de ces cellules ? Pourra-t-on vraiment soigner toutes les maladies dans l’avenir avec des cellules souches ? Voir créer des organes artificiels ou faire naitre des bébés OGM ?  Clara Steichen est chercheuse à Poitiers, titulaire d’un doctorat sur le sujet. Elle va vous montrer, que les cellules souches sont, pour la médecine de demain, un outil prometteur et excitant, mais aussi troublant…  Clara Steichen est chercheuse post-doctorante à Poitiers et s'intéresse au potentiel des cellules souches humaines. Après une école d'ingénieur en biotechnologies, un doctorat en région parisienne et une expérience post-doctorale de 2 ans au Brésil, elle rejoint le laboratoire IRTOMIT (Inserm U1082, Université de Poitiers) au CHU de Poitiers qui s'intéresse à la transplantation d'organe, dans le but d'appliquer ses connaissances sur les cellules souches pour développer de nouveaux modèles ou stratégies thérapeutiques dans ce contexte. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:45:06Z,22,0,237,0
Siempre podemos dar 10 más | Fausto Murillo | TEDxRosario,ctSyf5tJZso,"Fausto nos enseña a proponernos metas, a sudar por ellas y a superarlas. Siempre con una sonrisa ante las dificultades, su historia arranca desde muy abajo y termina con un sueño cumplido: ayudar a las personas a adoptar un modo de vida saludable. Después de un largo período fuera de su país, Fausto regresó a Colombia con el afán de animar a llevar un estilo de vida saludable. Todos los días desde las 6:30 hasta las 8:30 am, brinda clases aeróbicas gratuitas en un polideportivo de Bello. Al mismo tiempo creó Turbosteps, una página para brindar apoyo deportivo. Su estilo alegre y motivacional, llevó a que millones de personas lo sigan en una gran comunidad digital y logren sus metas. Un dato extra: Fausto además, ha sido modelo de pasarela, y bailarín. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:39:24Z,37,0,257,0
Out of the Shadows: Women Veterans and Homelessness | Lily Casura | TEDxSanAntonioWomen,IaAXH1Uuu-Y,"Women are one of the fastest-growing demographics in today's US military. During and after their military service, women face unique challenges that can lead to homelessness. A longtime journalist, and newly minted master of social work (MSW), Lily Casura conducts macro-level research, performs data analysis, and studies policy implications regarding poverty, equity, education and homelessness, particularly regarding students and female veterans. 

Lily founded the first website about combat veterans and Post-Traumatic Stress Disorder (PTSD). In 2016, she received a Howard G. Buffett inaugural grant from the International Women's Media Foundation to create a multimedia reporting project around female veteran homelessness. She is a chapter author in ""Healing War Trauma: A Handbook of Creative Approaches"" (Routledge, 2012).

She is an honors graduate of Harvard University, with additional training from the Center for Mind-Body Medicine (Washington, DC) and the National Center for PTSD (VA), and is a member of APHA, NASW, Journalism and Women Symposium (JAWS), Association of Health Care Journalists (AHCJ), and the Alamo Regional Data Alliance. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:34:31Z,33,0,252,2
Has the Washington establishment failed the world? | David Rothkopf | TEDxMidAtlantic,60vzgBW-BVg,"Longtime Washington insider David Rothkopf looks back on his forty year career in Washington, D.C., and asks a basic question: did Washington fail to lead? He argues that political expedience may have come at the expense of actually addressing real problems that have continued to fester in both domestic and foreign policy, with devastating societal and economic consequences. He also offers some ideas about what we can do now to improve things, and how we might avoid ending up here again. David Rothkopf is the CEO of The Rothkopf Group, a media and advisory company. Via its DSR Network it is a leading presenter of podcast and other web-based content on politics, foreign policy, national security and technology. Rothkopf is a well-known author whose next book Traitor: The Case Against Donald Trump is due out later this year from St. Martin’s Press.

His prior books include “National Insecurity”, “Power, Inc.”, “Superclass” and “Running the World: The National Security Council and the Architects of American Power.” He is also the author of “The Great Questions of Tomorrow” from Simon & Schuster and TED Books, based on his TED talk which has been seen to date by well over a million viewers.

He was previously editor and CEO of the FP Group, publishers of Foreign Policy Magazine, managing director of Kissinger Associates and served as a senior official in the Commerce Department. He has taught at the schools of international affairs at Columbia University, Johns Hopkins and Georgetown. He is a regular columnist and contributor to major newspapers, websites and broadcast outlets worldwide. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-08T21:00:03Z,767,94,28409,140
Neuroscience of Learning & Mental Health | Prof. Marios Philiastides | TEDxUniversityofGlasgow,hcXWjydMCXc,Marios Philiastides is a Full Professor at the Institute of Neuroscience and Psychology at the University of Glasgow. His research group uses multimodal brain imaging to understand the neurobiological principles underlying human decision making and learning in both healthy and clinical populations. Marios Philiastides is a Full Professor at the Institute of Neuroscience and Psychology at the University of Glasgow. His research group uses multimodal brain imaging to understand the neurobiological principles underlying human decision making and learning in both healthy and clinical populations. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx,2020-10-08T18:04:00Z,79,2,3294,4
Future - Ready Through Creativity | Vijay Rao | TEDxNIITUniversity,Ru6o3ahVI0Q,"A multi-disciplinary Educator and remote learning expert with a global following, Mr. Vijay Rao speaks that Creativity and Critical thinking are the safest routes to future jobs.

Rao gives an example of injecting Arts into STEM making STEAM, performed by his Vanguard Achvrz Academy at the American Center with NASA Project head as Chief Guest. Drawn from hundreds of schools, students trained by Mr. Rao have gained worldwide recognition, performing the world's first musical theatre shows based on the Olympics and Disaster-preparedness for tsunamis.  His exceptionally diverse skillset, which ranges from cover stories with accurate share price predictions to workshops on public speaking and enhancing soft skills, serves as a figure of inspiration for our young audiences.

 Mr. Rao's stage performance group, named ""The Achievers,"" which comprises of the children from 35 schools across Delhi, have performed the world's first musical theatre show based on the tsunami, titled ""Trump of the Human Spirit"" gained worldwide recognition. His exceptionally diverse skillset, which ranges from cover stories with accurate share price predictions to workshops on public speaking and enhancing soft skills, serves as a figure of inspiration for our young audiences. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-08T17:39:46Z,35,1,1267,2
What If Color Is the Answer? | Maggie O'Neill | TEDxPearlStreet,8yUtf8eAqQw,"What if color is the answer? To gather data on this question, artist Maggie O’Neill explores the ways we can use color theory as a lens or methodology to help us overcome adversity and better understand our relationships. Through her own journey of self-discovery, Maggie shows us how she came to see others other through this lens, and found news ways to become more inspired – and less scared – of others. According to Maggie, by uncovering your true colors and living in the truth of your color you can begin to understand your super power as a human being, and discover a new way to see the world and handle adversity a little differently. 

SPEAKER BIO: Maggie O’Neill is an artist, designer and creative entrepreneur based in Washington, DC. As a fine artist, Maggie is best known for her iconic pop impressionistic paintings of Washington, DC including landmarks and both the famous and familiar individuals who inspire and make history.  hold for bio This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-08T16:00:35Z,46,6,1736,11
How Robot Armies Will Save Our Future Cities | Kaveh Akbari Hamed | TEDxPearlStreet,_XJqtbiqVRo,"Until now, engineers, mathematicians, and  
roboticists have worked together to build and  
move single robots. Unfortunately, one single robot isn’t enough to do the work our future demands. 

Our world faces complex challenges every day – whether industrial accidents, natural disasters, or self inflicted catastrophes — these are circumstances that compromise the safety of the human beings that are regularly deployed to manage the crisis. In order to reduce the risk to human armies, engineers like Dr. Kaveh Akbari Hamed have studied new models to understand how to build more agile and collaborative robots that can work together to mitigate crises and keep humans from harms way.

In this fascinating talk, Dr. Hamed describes how he found the inspiration to solve the complex problem of building an army of collaborative robots in and around his home.

SPEAKER BIO: 

Dr. Kaveh Akbari Hamed is an Assistant Professor and Director of the Hybrid Dynamic Systems and Robot Locomotion (HDSRL) Laboratory in the Department of Mechanical Engineering at Virginia Tech. His primary academic interests span control theory, robotics, cyber-physical systems, hybrid dynamical systems, and optimization. hold for bio This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-08T15:58:32Z,28,0,1147,4
